Title;Authors;Year;Venue;DOI;Abstract;Selected?;Exclusion Criteria
Risk analysis and control of large artificial intelligence models;Li, Shilong and Zhang, Li and Gu, Mengchen and Chan, Jian and Wu, Qi;2024;Proceedings of the 2024 International Conference on Cloud Computing and Big Data;https://doi.org/10.1145/3695080.3695149;With the rapid development of artificial intelligence(AI) technology, large AI models have demonstrated immense potential and value in numerous fields. However, the security risks associated with large AI models have also increasingly garnered widespread attention. This paper first outlines the development status and characteristics of large AI models and provides a detailed classification and discussion of the security risks. Next, the paper analyzes the causes of these risks, delving into technical, talent, and policy perspectives. Lastly, the paper proposes countermeasures for the secure development of large AI models, including improving technical regulation, enhancing policy regulations, strengthening talent cultivation, and reinforcing international cooperation, with the aim of providing a theoretical reference for the healthy development of large AI models.;No;lacks practical relevance to organizations
Artificial Intelligence Readiness in Africa: Status Quo and Future Research;Isagah, Tupokigwe and Ben Dhaou, Soumaya I.;2024;Proceedings of the 17th International Conference on Theory and Practice of Electronic Governance;https://doi.org/10.1145/3680127.3680199;Artificial Intelligence (AI) technologies have the potential to accelerate economic growth and promote sustainable development in developing countries. Particularly in Africa, the technology is expected to solve societal challenges, leapfrog, and promote sustainable communities. The literature presents examples of AI use cases in Africa to exemplify the opportunities, benefits, challenges, and risks of AI. Also, available reports highlight similar narratives with recommendations to improve the status quo. While such recommendations are essential, assessing what actions have already been implemented toward AI adoption is equally important. Still, more research is needed to showcase a holistic view of efforts taken by African countries to prepare for planning and implementing AI responsibly. This paper bridges the gap by examining the readiness of AI adoption in African countries from the literature using the Technology-Organization-Environment (TOE) framework. Findings reveal the need for further initiatives to realize the positive outcomes of AI technologies. The paper concludes by proposing the research areas that require further exploration from the context of African countries.;No;lacks practical relevance to organizations
Positioning Paradata: A Conceptual Frame for AI Processual Documentation in Archives and Recordkeeping Contexts;Cameron, Scott and Franks, Pat and Hamidzadeh, Babak;2023;J. Comput. Cult. Herit.;https://doi.org/10.1145/3594728;"The emergence of sophisticated Artificial Intelligence (AI) and machine learning tools poses a challenge to archives and records professionals, who are accustomed to understanding and documenting the activities of human agents rather than the often-opaque processes of sophisticated AI functioning. Preliminary work has proposed the term paradata to describe the unique documentation needs that emerge for archivists using AI tools to process records in their collections. For the purposes of archivists working with AI, paradata is conceptualized here as information recorded and preserved about records’ processing with AI tools; it is a category of data that is defined both by its relationship with other datasets and by the documentary purpose it serves. This article surveys relevant literature across three contexts to scope the relevant scholarship that archivists may draw upon to develop appropriate AI documentation practices. From the statistical social sciences and the visual heritage fields, the article discusses existing definitions of paradata and its ambiguous, often contextually dependent relationship with existing metadata categories. Approaching the problem from a sociotechnical perspective, literature on Explainable Artificial Intelligence (XAI) insists pointedly that explainability be attuned to specific users’ stated needs—needs that archivists may better articulate using the framework of paradata. Most importantly, the article situates AI as a challenge to accountability, transparency, and impartiality in archives by introducing an unfamiliar non-human agency, one that pushes the limits of existing archival practice and demands the development of new concepts and vocabularies to shape future technological and methodological developments in archives.";No;lacks practical relevance to organizations
The use and theoretical support of emerging technologies for citizen participation in cities. A Systematic Literature Review in DGRL;Rodr\'{\i;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657255;"This paper examines the use and theoretical support underlying the implementation of emerging technologies for citizen participation in cities. Based on a systematic literature review in the main database of digital government (Digital Government Research Library -DGRL-), we analyze the evidence drawn by prior research concerning the situation, theoretical support, and use of these disruptive technologies in citizen participation. We seek to contribute to prior research on arising a critical debate about the initial implementation of these technologies for promoting collaborative models of governance and providing future research directions to advance&nbsp;in&nbsp;this&nbsp;topic.";No;lacks practical relevance to organizations
Ethics of AI: A Systematic Literature Review of Principles and Challenges;Khan, Arif Ali and Badshah, Sher and Liang, Peng and Waseem, Muhammad and Khan, Bilal and Ahmad, Aakash and Fahmideh, Mahdi and Niazi, Mahmood and Akbar, Muhammad Azeem;2022;Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering;https://doi.org/10.1145/3530019.3531329;Ethics in AI becomes a global topic of interest for both policymakers and academic researchers. In the last few years, various research organizations, lawyers, think tankers, and regulatory bodies get involved in developing AI ethics guidelines and principles. However, there is still debate about the implications of these principles. We conducted a systematic literature review (SLR) study to investigate the agreement on the significance of AI principles and identify the challenging factors that could negatively impact the adoption of AI ethics principles. The results reveal that the global convergence set consists of 22 ethical principles and 15 challenges. Transparency, privacy, accountability and fairness are identified as the most common AI ethics principles. Similarly, lack of ethical knowledge and vague principles are reported as the significant challenges for considering ethics in AI. The findings of this study are the preliminary inputs for proposing a maturity model that assesses the ethical capabilities of AI systems and provides best practices for further improvements.;No;lacks practical relevance to organizations
Outsider Oversight: Designing a Third Party Audit Ecosystem for AI Governance;Raji, Inioluwa Deborah and Xu, Peggy and Honigsberg, Colleen and Ho, Daniel;2022;Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society;https://doi.org/10.1145/3514094.3534181;Much attention has focused on algorithmic audits and impact assessments to hold developers and users of algorithmic systems accountable. But existing algorithmic accountability policy approaches have neglected the lessons from non-algorithmic domains: notably, the importance of third parties. Our paper synthesizes lessons from other fields on how to craft effective systems of external oversight for algorithmic deployments. First, we discuss the challenges of third party oversight in the current AI landscape. Second, we survey audit systems across domains - e.g., financial, environmental, and health regulation - and show that the institutional design of such audits are far from monolithic. Finally, we survey the evidence base around these design components and spell out the implications for algorithmic auditing. We conclude that the turn toward audits alone is unlikely to achieve actual algorithmic accountability, and sustained focus on institutional design will be required for meaningful third party involvement.;No;lacks practical relevance to organizations
What About the Data? A Mapping Study on Data Engineering for AI Systems;Heck, Petra;2024;Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI;https://doi.org/10.1145/3644815.3644954;AI systems cannot exist without data. Now that AI models (data science and AI) have matured and are readily available to apply in practice, most organizations struggle with the data infrastructure to do so. There is a growing need for data engineers that know how to prepare data for AI systems or that can setup enterprise-wide data architectures for analytical projects. But until now, the data engineering part of AI engineering has not been getting much attention, in favor of discussing the modeling part. In this paper we aim to change this by perform a mapping study on data engineering for AI systems, i.e., AI data engineering. We found 25 relevant papers between January 2019 and June 2023, explaining AI data engineering activities. We identify which life cycle phases are covered, which technical solutions or architectures are proposed and which lessons learned are presented. We end by an overall discussion of the papers with implications for practitioners and researchers. This paper creates an overview of the body of knowledge on data engineering for AI. This overview is useful for practitioners to identify solutions and best practices as well as for researchers to identify gaps.;No;lacks practical relevance to organizations
Mapping the individual, social and biospheric impacts of Foundation Models;Dom\'{\i;2024;Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency;https://doi.org/10.1145/3630106.3658939;Responding to the rapid roll-out and large-scale commercialization of foundation models, large language models, and generative AI, an emerging body of work is shedding light on the myriad impacts these technologies are having across society. Such research is expansive, ranging from the production of discriminatory, fake and toxic outputs, and privacy and copyright violations, to the unjust extraction of labor and natural resources. The same has not been the case in some of the most prominent AI governance initiatives in the global north like the UK’s AI Safety Summit and the G7’s Hiroshima process, which have influenced much of the international dialogue around AI governance. Despite the wealth of cautionary tales and evidence of algorithmic harm, there has been an ongoing over-emphasis within the AI governance discourse on technical matters of safety and global catastrophic or existential risks. This narrowed focus has tended to draw attention away from very pressing social and ethical challenges posed by the current brute-force industrialization of AI applications. To address such a visibility gap between real-world consequences and speculative risks, this paper offers a critical framework to account for the social, political, and environmental dimensions of foundation models and generative AI. Drawing on a review of the literature on the harms and risks of foundations models, and insights from critical data studies, science and technology studies, and environmental justice scholarship, we identify 14 categories of risks and harms and map them according to their individual, social, and biospheric impacts. We argue that this novel typology offers an integrative perspective to address the most urgent negative impacts of foundation models and their downstream applications. We conclude with recommendations on how this typology could be used to inform technical and normative interventions to advance responsible AI.;No;lacks practical relevance to organizations
Regulating the machine: An exploratory study of US state legislations addressing Artificial Intelligence, 2019-2023;DePaula, Nic and Gao, Lu and Mellouli, Sehl and Luna-Reyes, Luis F. and Harrison, Teresa M.;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657148;"Artificial Intelligence (AI) poses transformative and disruptive challenges for democracy, for policy makers, and for government agencies. While various policy initiatives around the world seek to regulate AI, in the United States (US) federal government there is no sign of a comprehensive AI law, and few legal measures to enable or restrict AI have been proposed and passed. However, states across the US are active in attempting to address issues related to AI and have proposed hundreds of legislations related to AI in the past few years. In this paper, we examined what these legislations have sought to accomplish in relation to AI, and the potential impacts for the public in general and for public administration in particular. From a preliminary and descriptive analysis of all US state legislations related to AI passed from 2019 to 2023, we show how these legislations are addressing AI in terms of: (1) the types of legislations adopted or enacted; (2) the definitions of AI and associated technologies given; (3) the sectors and domains principally addressed in AI legislations; (4) the private sector and government actions directed by the legislations; and (5) how ethical and economic considerations are addressed. We generally found a lack of definition of AI, and associated technologies mentioned are rarely specific. Many of the laws create commissions or task forces to study AI, addressing the various practical and ethical issues related to AI. Legislations have created some regulations and support for industry, and have directed government agencies to identify existing AI capabilities and how AI may be employed in their agencies and jurisdictions. Considerable emphasis has been placed on issues of bias and discrimination, as well education and economic investment in AI, although unevenly distributed across states. We summarize and discuss these results in relation to existing literature and make some recommendations on how state legislatures may better address AI in the future.";No;lacks practical relevance to organizations
Hitting the Triple Bottom Line: Widening the HCI Approach to Sustainability;Scuri, Sabrina and Ferreira, Marta and Jardim Nunes, Nuno and Nisi, Valentina and Mulligan, Cathy;2022;Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems;https://doi.org/10.1145/3491102.3517518;Sustainable Development (SD) in its dimensions – environment, economy, and society – is a growing area of concern within the HCI community. This paper advances a systematic literature review on sustainability across the Sustainable Human-Computer Interaction (SHCI) body of work. The papers were classified according to the Triple Bottom Line (TBL) framework to understand how the pillars of SD play into the HCI discourse on sustainability. The economic angle was identified as a gap in SHCI literature. To meet the TBL of SD, however, a balance needs to be sought across all ‘lines’. In this paper, we propose that HCI can advance the discussion and the understanding of the economic concepts around sustainability through taking a sociology perspective on the economic angle of the TBL. We sustain this claim by discussing economic concepts and the role that digital can play in redefining the established foundations of our economic system.;No;lacks practical relevance to organizations
An Advance Review of Urban-AI and Ethical Considerations;Mirindi, Derrick and Sinkhonde, David and Mirindi, Frederic;2024;Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Advances in Urban-AI;https://doi.org/10.1145/3681780.3697246;The rapid digitization of urban infrastructure and the availability of urban data have created opportunities for developing and using artificial intelligence (AI), machine learning (ML), and deep learning (DL) algorithms to address cities' difficult problems. This research offers a thorough evaluation of state-of-the-art AI, ML, and DL algorithms in urban artificial intelligence (AI). This encompasses land use, energy control, public safety, and traffic forecasting. We investigated urban-AI algorithms, and results show that ML algorithms such as Random Forest (RF) can achieve 94% accuracy in urban growth prediction, while Support Vector Machines (SVMs) have demonstrated power in accurately classifying objects such as built-up areas and vegetation. On the other hand, DL algorithms such as Convolutional Neural Networks (CNNs) can attain 79% accuracy in satellite image classification, while Recurrent Neural Network (RNN) and Long Short-Term Memory (LSTM) network are useful in time-series prediction tasks such as traffic flow forecasting, urban air quality prediction, and energy consumption modeling. However, the limitations of these algorithms, particularly when dealing with large datasets, could potentially restrict their scalability in real-time applications. Furthermore, we have identified ethical considerations such as privacy and surveillance, algorithmic bias and fairness, transparency and interpretability, accountability and human oversight, social inclusion, and civic participation, all of which require attention. This has resulted in a variety of suggestions, including creating guidelines for using AI for urban performance to address ethical issues. Future research directions should focus on integrating AI with emerging technologies such as 5G and developing robust frameworks for responsible AI governance in smart cities.;No;lacks practical relevance to organizations
Who evaluates the algorithms? An overview of the algorithmic accountability ecosystem;Criado, J. Ignacio and Guevara-Gomez, Ariana;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657247;Algorithmic accountability is a concept that has been gaining interest in academic and professional circles, especially when considering the potential negative impacts of Artificial Intelligence in diverse scenarios. In this article, we present the results of a systematic literature review and in-depth interviews to advance the understanding of the algorithmic accountability definition and the dynamics within the ecosystem of such processes, with a focus on the role of the public sector. We also offer some practical recommendations for fostering an accountability ecosystem that accommodates the complexities of algorithmic systems, through multi-stakeholder collaboration, public regulation and oversight, and citizen participation.;No;lacks practical relevance to organizations
Public Value Principles for Secure and Trusted AI;Ganapati, Sukumar and Desouza, Kevin;2024;Proceedings of the 25th Annual International Conference on Digital Government Research;https://doi.org/10.1145/3657054.3657086;"The objective of this paper is to establish the fundamental public value principles that should govern safe and trusted artificial intelligence (AI). Public value is a dynamic concept that encompasses several dimensions. AI itself has evolved quite rapidly in the last few years, especially with the swift escalation of Generative AI. Governments around the world are grappling with how to govern AI, just as technologists ring alarm bells about the future consequences of AI. Our paper extends the debate on AI governance that is focused on ethical values of beneficence to that of economic values of public good. Viewed as a public good, AI use is beyond the control of the creators. Towards this end, the paper examined AI policies in the United States and Europe. We postulate three principles from a public values perspective: (i) ensuring security and privacy of each individual (or entity); (ii) ensuring trust in AI systems is verifiable; and (iii) ensuring fair and balanced AI protocols, wherein the underlying components of data and algorithms are contestable and open to public debate.";No;lacks practical relevance to organizations
Exploring AI Futures Through Role Play;Avin, Shahar and Gruetzemacher, Ross and Fox, James;2020;Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society;https://doi.org/10.1145/3375627.3375817;We present an innovative methodology for studying and teaching the impacts of AI through a role-play game. The game serves two primary purposes: 1) training AI developers and AI policy professionals to reflect on and prepare for future social and ethical challenges related to AI and 2) exploring possible futures involving AI technology development, deployment, social impacts, and governance. While the game currently focuses on the inter-relations between short-, mid- and long-term impacts of AI, it has potential to be adapted for a broad range of scenarios, exploring in greater depths issues of AI policy research and affording training within organizations. The game presented here has undergone two years of development and has been tested through over 30 events involving between 3 and 70 participants. The game is under active development, but preliminary findings suggest that role-play is a promising methodology for both exploring AI futures and training individuals and organizations in thinking about, and reflecting on, the impacts of AI and strategic mistakes that can be avoided today.;No;lacks practical relevance to organizations
The impact of Artificial Intelligence on the Socioeconomic factors in the UAE;Hassanien, Ahmed Rabie Mohamed;2024;Proceedings of the 2023 6th Artificial Intelligence and Cloud Computing Conference;https://doi.org/10.1145/3639592.3639609;Artificial Intelligence (AI) is rapidly transforming industries worldwide, including the United Arab Emirates (UAE). As the UAE aims to become a leader in AI adoption and deployment, it is crucial to understand its impact on the country's socioeconomic factors. This research proposal aims to investigate the impact of AI on employment, wage inequality, productivity, innovation, and ethical implications in the UAE.The research will adopt a mixed-methods approach combining a systematic literature review and a quantitative survey to gather and assess data. The literature review will identify relevant literature to establish the research framework, while the survey will target leaders, employees, and end-users of organizations operating in the UAE across various sectors.A sample size of no less than 250 respondents who are predominantly leadership executives will be used, and the survey will consist of 30 questions, including demographic questions, and a 5-point Likert scale to measure respondents’ level of agreement or disagreement with the statements presented.Ethical considerations, including informed consent and anonymity, will be addressed. The findings from this research will contribute to a better understanding of the impact of AI on the socioeconomic factors in the UAE and help inform the development of appropriate policies and strategies for the responsible adoption and deployment of AI technologies in the country.The research proposal presents an exciting opportunity to explore a relevant and timely topic that will shed light on the potential impact of AI on the UAE's socioeconomic development.;No;lacks practical relevance to organizations
Ethical Tensions in Applications of AI for Addressing Human Trafficking: A Human Rights Perspective;Deeb-Swihart, Julia and Endert, Alex and Bruckman, Amy;2022;Proc. ACM Hum.-Comput. Interact.;https://doi.org/10.1145/3555186;"In the last two decades, human trafficking (where individuals are forcibly exploited for the profits of another) has seen increased attention from the artificial intelligence (AI) community. Clear focus on the ethical risks of this research is critical given that those risks are disproportionately born by already vulnerable populations. To understand and subsequently address these risks, we conducted a systematic literature review of computing research leveraging AI to combat human trafficking and apply a framework using principles from international human rights law to categorize ethical risks. This paper uncovers a number of ethical tensions including bias endemic in datasets, privacy risks stemming from data collection and reporting, and issues concerning potential misuse. We conclude by highlighting four suggestions for future research: broader use of participatory design; engaging with other forms of trafficking; developing best practices for harm prevention; and including transparent ethics disclosures in research. We find that there are significant gaps in what aspects of human trafficking researchers have focused on. Most research to date focuses on aiding criminal investigations in cases of sex trafficking, but more work is needed to support other anti-trafficking activities like supporting survivors, adequately address labor trafficking, and support more diverse survivor populations including transgender and nonbinary individuals.";No;lacks practical relevance to organizations
Fundamental Trends and Hot-Spots in Public Governance and Artificial Intelligence Research: A Bibliometric Study Analysis From 2013 to 2023;Lee, Siyuan;2024;Proceedings of the 5th International Conference on Computer Information and Big Data Applications;https://doi.org/10.1145/3671151.3671290;Background: AI has become an important theoretical and practical hotspot in public governance. This study aims to analyses the publication characteristics of AI in public governance research in terms of institutions, journals and partnerships, and to analyses the development trend of AI in public governance research. Methods: Publications regarding AI in public governance were retrieved from Web of Science core collection. Microsoft Excel 2010, VOSviewer were used to characterize the contributions of the authors, journals, and institutions. The trends, hot-spots and knowledge network were analyzed by Citespace and VOSviewer. Results: We identified 2525 papers between 2013 and 2023. The number of papers grows gradually until 2019, followed by a sharp increase between 2020 and 2023. The University of Oxford is the most active institution. Most of the papers in this field are published in Sustainability and IEEE Access. Luciano is the most productive author, and EUROPEAN COMMISSION is the most frequently co-cited author. The frontier topics are public sector and smart city. The basic themes of this field are “application scenarios, operation characteristics, algorithm characteristics, risk governance”. Conclusion: In the past three years, artificial intelligence and public governance research have attracted widespread attention. The research hotspots are gradually shifting to public service, decision-making and risk.;No;lacks practical relevance to organizations
